"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Callithrix jacchus","1",216975769,2844,1.31074544088838e-05,2829711198,40162
"Callithrix jacchus","2",202808461,2551,1.25783706824736e-05,2829711198,40162
"Callithrix jacchus","3",189455076,1992,1.05143659492132e-05,2829711198,40162
"Callithrix jacchus","4",173414057,2322,1.33899179811012e-05,2829711198,40162
"Callithrix jacchus","5",161716902,3076,1.90208936849409e-05,2829711198,40162
"Callithrix jacchus","6",159674559,2071,1.29701313281849e-05,2829711198,40162
"Callithrix jacchus","7",156129252,2389,1.53014247451848e-05,2829711198,40162
"Callithrix jacchus","X",146897247,1716,1.16816348505156e-05,2829711198,40162
"Callithrix jacchus","10",136971485,2219,1.62004522328133e-05,2829711198,40162
"Callithrix jacchus","9",132900640,1895,1.42587725687401e-05,2829711198,40162
"Callithrix jacchus","11",128529401,2251,1.75135026109707e-05,2829711198,40162
"Callithrix jacchus","8",126104592,1576,1.24975623409495e-05,2829711198,40162
"Callithrix jacchus","12",123697827,1834,1.48264528527247e-05,2829711198,40162
"Callithrix jacchus","13",117638787,1360,1.15608128465316e-05,2829711198,40162
"Callithrix jacchus","14",112969529,1348,1.19324211752711e-05,2829711198,40162
"Callithrix jacchus","15",98621277,1396,1.41551604528504e-05,2829711198,40162
"Callithrix jacchus","16",98110366,1247,1.27101758034416e-05,2829711198,40162
"Callithrix jacchus","17",74700100,912,1.22088189975649e-05,2829711198,40162
"Callithrix jacchus","21",50614742,573,1.13208124225942e-05,2829711198,40162
"Callithrix jacchus","19",50540917,796,1.57496153067425e-05,2829711198,40162
"Callithrix jacchus","22",49900457,1861,3.72942476258284e-05,2829711198,40162
"Callithrix jacchus","18",47063576,990,2.10353756374144e-05,2829711198,40162
"Callithrix jacchus","20",44412365,684,1.54011163332554e-05,2829711198,40162
"Callithrix jacchus","Y",5064689,52,1.02671654666259e-05,2829711198,40162
"Callithrix jacchus","JAALXP010000164.1",1202395,39,3.24352646177005e-05,2829711198,40162
"Callithrix jacchus","JAALXP010000169.1",1072751,16,1.49149243393854e-05,2829711198,40162
"Callithrix jacchus","JAALXP010000191.1",603501,33,5.46809367341562e-05,2829711198,40162
"Callithrix jacchus","JAALXP010000223.1",343485,3,8.73400585178392e-06,2829711198,40162
"Callithrix jacchus","JAALXP010000230.1",334728,8,2.39000023900002e-05,2829711198,40162
"Callithrix jacchus","JAALXP010000232.1",327991,4,1.21954565826501e-05,2829711198,40162
"Callithrix jacchus","JAALXP010000240.1",309835,2,6.45504865492924e-06,2829711198,40162
