"species","contigName","contigSize.bp","contigGeneCount","contigGeneDens.genesPerBp","asmblySize.bp","asmblyGeneCount"
"Seriola lalandi dorsalis","PEQF01099379.1",8096577,252,3.11242639945251e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099363.1",7641072,210,2.74830547336813e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099586.1",6893999,172,2.49492348345278e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099376.1",6736225,120,1.78141318023077e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099584.1",6596090,185,2.80469187048691e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099023.1",6478034,215,3.3189081749185e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099227.1",6456146,136,2.10651989592553e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099274.1",5510346,182,3.30287789550783e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099340.1",5364536,238,4.43654399933191e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099411.1",5206256,65,1.24849796091472e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099049.1",4723803,169,3.57762590861643e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099064.1",4590017,120,2.61436940211768e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01096753.1",4524003,143,3.16091744413078e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099477.1",4498966,135,3.00068949176322e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099422.1",4437683,201,4.52939067526905e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099060.1",4427997,163,3.68112263852031e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099171.1",4243078,212,4.99637291607649e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01098904.1",4232695,122,2.88232438198358e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099085.1",3976296,136,3.42026851119736e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01098949.1",3778529,122,3.2287697143518e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099246.1",3647296,148,4.05780062819141e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01098998.1",3597899,191,5.3086537448661e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099168.1",3360985,96,2.85630551757892e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01098955.1",3357981,165,4.91366687304068e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099161.1",3338543,183,5.48143306825762e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099003.1",3205508,84,2.62048948247828e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099109.1",3199150,120,3.7509963584077e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099329.1",3154697,104,3.29667159793793e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099058.1",3122239,82,2.62632040660564e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099157.1",3119947,143,4.58341119256193e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099343.1",3075019,124,4.03249540897146e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099426.1",3043598,76,2.49704461627324e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099214.1",3012758,90,2.98729602576775e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099167.1",2952380,65,2.20161361342375e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099151.1",2875865,164,5.70263207765316e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099215.1",2768611,89,3.21460833609344e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099371.1",2761053,78,2.8250091541162e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099405.1",2679071,102,3.80728991504891e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099038.1",2639324,130,4.92550365169263e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099061.1",2587535,102,3.9419756640973e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099394.1",2585620,74,2.86198281263295e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099033.1",2578486,105,4.07215707201823e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099433.1",2567578,57,2.21999097982612e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01098953.1",2536617,74,2.91727131056837e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099173.1",2536270,80,3.15423831058996e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099042.1",2479610,116,4.67815503244462e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01098735.1",2479340,136,5.48533077351231e-05,732493304,25687
"Seriola lalandi dorsalis","PEQF01099365.1",2396117,59,2.46231715730075e-05,732493304,25687
