"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Melopsittacus undulatus","1",155.071706,1431,9.22798901819007,1171.617451
"Melopsittacus undulatus","2",121.023092,1183,9.77499401519174,1171.617451
"Melopsittacus undulatus","3",118.16075,1256,10.6295872360323,1171.617451
"Melopsittacus undulatus","4",112.750338,1651,14.6429716246172,1171.617451
"Melopsittacus undulatus","Z",104.092594,1166,11.2015654062766,1171.617451
"Melopsittacus undulatus","5",87.083378,1076,12.3559745236341,1171.617451
"Melopsittacus undulatus","6",86.47795,1447,16.7325890588294,1171.617451
"Melopsittacus undulatus","7",73.26866,730,9.96333220779526,1171.617451
"Melopsittacus undulatus","8",57.497735,918,15.9658463068154,1171.617451
"Melopsittacus undulatus","9",45.297783,769,16.976548278312,1171.617451
"Melopsittacus undulatus","10",35.27736,749,21.2317475003798,1171.617451
"Melopsittacus undulatus","11",24.154513,629,26.0406823354294,1171.617451
"Melopsittacus undulatus","12",23.105471,636,27.5259482916405,1171.617451
"Melopsittacus undulatus","13",12.147643,340,27.9889687242208,1171.617451
"Melopsittacus undulatus","14",6.967098,255,36.6006047281092,1171.617451
"Melopsittacus undulatus","15",6.662068,184,27.6190516218087,1171.617451
"Melopsittacus undulatus","16",6.113794,261,42.6903490696612,1171.617451
"Melopsittacus undulatus","17",5.218183,301,57.6829137651938,1171.617451
"Melopsittacus undulatus","18",5.029921,195,38.7680045074267,1171.617451
"Melopsittacus undulatus","19",4.92288,291,59.1117394695788,1171.617451
"Melopsittacus undulatus","W",4.022347,42,10.4416650279053,1171.617451
"Melopsittacus undulatus","JAAVWG010000309.1",3.620516,53,14.6387973426992,1171.617451
"Melopsittacus undulatus","JAAVWG010000327.1",3.027513,37,12.2212522291399,1171.617451
"Melopsittacus undulatus","21",2.555005,226,88.4538386421944,1171.617451
"Melopsittacus undulatus","JAAVWG010000357.1",2.219833,17,7.65823375001633,1171.617451
"Melopsittacus undulatus","20",2.05574,213,103.612324515746,1171.617451
"Melopsittacus undulatus","JAAVWG010000373.1",1.932255,29,15.0083710483347,1171.617451
"Melopsittacus undulatus","22",1.817768,161,88.5701585680901,1171.617451
"Melopsittacus undulatus","23",1.430276,124,86.6965536721584,1171.617451
"Melopsittacus undulatus","JAAVWG010000422.1",1.171771,12,10.2409088465238,1171.617451
"Melopsittacus undulatus","JAAVWG010000429.1",1.073181,11,10.2499019270747,1171.617451
"Melopsittacus undulatus","24",1.01839,69,67.7540038688518,1171.617451
"Melopsittacus undulatus","JAAVWG010000397.1",0.968069,7,7.23088953370059,1171.617451
"Melopsittacus undulatus","27",0.936804,83,88.5991093120866,1171.617451
"Melopsittacus undulatus","JAAVWG010000454.1",0.900841,65,72.1547975724906,1171.617451
"Melopsittacus undulatus","26",0.867402,52,59.9491354642945,1171.617451
"Melopsittacus undulatus","JAAVWG010000482.1",0.79243,14,17.6671756495842,1171.617451
"Melopsittacus undulatus","JAAVWG010000492.1",0.789508,2,2.53322322256393,1171.617451
"Melopsittacus undulatus","JAAVWG010000501.1",0.716396,5,6.97938011937532,1171.617451
"Melopsittacus undulatus","JAAVWG010000509.1",0.665838,12,18.022401845494,1171.617451
"Melopsittacus undulatus","JAAVWG010000515.1",0.630572,6,9.51517035326656,1171.617451
"Melopsittacus undulatus","30",0.613772,43,70.0585885312461,1171.617451
"Melopsittacus undulatus","JAAVWG010000532.1",0.604952,73,120.670730900964,1171.617451
"Melopsittacus undulatus","JAAVWG010000553.1",0.502097,3,5.97494109703902,1171.617451
"Melopsittacus undulatus","25",0.425885,40,93.922068163941,1171.617451
"Melopsittacus undulatus","JAAVWG010000576.1",0.402532,32,79.4967853487425,1171.617451
"Melopsittacus undulatus","JAAVWG010000591.1",0.378645,4,10.5639847350421,1171.617451
"Melopsittacus undulatus","29",0.368675,23,62.3855699464298,1171.617451
"Melopsittacus undulatus","28",0.352337,24,68.1166042737493,1171.617451
"Melopsittacus undulatus","JAAVWG010000636.1",0.303522,1,3.29465409426664,1171.617451
"Melopsittacus undulatus","JAAVWG010000643.1",0.297717,8,26.871156165083,1171.617451
"Melopsittacus undulatus","JAAVWG010000659.1",0.295253,5,16.9346289453452,1171.617451
"Melopsittacus undulatus","JAAVWG010000668.1",0.290073,45,155.133362981043,1171.617451
"Melopsittacus undulatus","JAAVWG010000678.1",0.289497,25,86.3566807255343,1171.617451
"Melopsittacus undulatus","JAAVWG010000685.1",0.278949,2,7.16976938436775,1171.617451
"Melopsittacus undulatus","JAAVWG010000210.1",0.272147,20,73.4896949075316,1171.617451
"Melopsittacus undulatus","JAAVWG010000721.1",0.250107,2,7.99657746484505,1171.617451
"Melopsittacus undulatus","JAAVWG010000738.1",0.235787,1,4.24111592242151,1171.617451
