"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Pteropus vampyrus","GeneScaffold_506",1.915625,5,2.61011419249592,1999.614463
"Pteropus vampyrus","GeneScaffold_3866",1.89751,9,4.74305800759943,1999.614463
"Pteropus vampyrus","GeneScaffold_366",1.817027,4,2.20139821807821,1999.614463
"Pteropus vampyrus","GeneScaffold_3987",1.692425,9,5.31781319703975,1999.614463
"Pteropus vampyrus","GeneScaffold_3989",1.676008,14,8.35318208504971,1999.614463
"Pteropus vampyrus","GeneScaffold_1829",1.6369,37,22.6037021198607,1999.614463
"Pteropus vampyrus","GeneScaffold_3874",1.635508,1,0.611430821493995,1999.614463
"Pteropus vampyrus","GeneScaffold_3407",1.604166,5,3.1168844122117,1999.614463
"Pteropus vampyrus","GeneScaffold_3428",1.464669,4,2.73099246314355,1999.614463
"Pteropus vampyrus","GeneScaffold_2907",1.415177,2,1.4132507806444,1999.614463
"Pteropus vampyrus","GeneScaffold_3857",1.402758,16,11.4061014087961,1999.614463
"Pteropus vampyrus","GeneScaffold_3933",1.369189,6,4.38215615229161,1999.614463
"Pteropus vampyrus","GeneScaffold_3401",1.356246,2,1.47465872710408,1999.614463
"Pteropus vampyrus","GeneScaffold_3435",1.347079,5,3.71173479803338,1999.614463
"Pteropus vampyrus","GeneScaffold_1884",1.341487,13,9.69073871010304,1999.614463
"Pteropus vampyrus","GeneScaffold_3626",1.306887,8,6.12141677130464,1999.614463
"Pteropus vampyrus","GeneScaffold_101",1.253746,3,2.39282916954471,1999.614463
"Pteropus vampyrus","GeneScaffold_3311",1.247992,7,5.60901031416868,1999.614463
"Pteropus vampyrus","GeneScaffold_2607",1.235751,5,4.04612256028925,1999.614463
"Pteropus vampyrus","GeneScaffold_869",1.212584,9,7.42216621693837,1999.614463
"Pteropus vampyrus","GeneScaffold_1986",1.175214,2,1.70181771149765,1999.614463
"Pteropus vampyrus","GeneScaffold_3474",1.174112,3,2.55512250960726,1999.614463
"Pteropus vampyrus","GeneScaffold_210",1.173436,14,11.9307742390723,1999.614463
"Pteropus vampyrus","GeneScaffold_2044",1.172548,4,3.41137420387055,1999.614463
"Pteropus vampyrus","GeneScaffold_3853",1.151504,19,16.5001597910211,1999.614463
"Pteropus vampyrus","GeneScaffold_375",1.140926,26,22.7885068794996,1999.614463
"Pteropus vampyrus","GeneScaffold_1125",1.131001,5,4.42086258102336,1999.614463
"Pteropus vampyrus","GeneScaffold_1866",1.127086,5,4.43621870913134,1999.614463
"Pteropus vampyrus","GeneScaffold_2271",1.125512,14,12.4387834159032,1999.614463
"Pteropus vampyrus","GeneScaffold_3285",1.119933,2,1.78582111608462,1999.614463
"Pteropus vampyrus","GeneScaffold_2375",1.099337,9,8.18675256086168,1999.614463
"Pteropus vampyrus","GeneScaffold_2498",1.09254,10,9.15298295714573,1999.614463
"Pteropus vampyrus","GeneScaffold_1975",1.090467,8,7.33630637149038,1999.614463
"Pteropus vampyrus","GeneScaffold_1992",1.083829,5,4.6132738651577,1999.614463
"Pteropus vampyrus","GeneScaffold_359",1.076766,12,11.1444826452544,1999.614463
"Pteropus vampyrus","GeneScaffold_3424",1.05945,2,1.88777195714758,1999.614463
"Pteropus vampyrus","GeneScaffold_3162",1.056242,7,6.62726912961234,1999.614463
"Pteropus vampyrus","GeneScaffold_1068",1.05361,12,11.3894135401145,1999.614463
