"species","name","size.Mb","genecount","genedens","asmblysize.Mb"
"Danio rerio","4",78.093715,2379,30.4633990072056,1373.454788
"Danio rerio","7",74.282399,1738,23.3971980361054,1373.454788
"Danio rerio","5",72.500376,1654,22.8136747870108,1373.454788
"Danio rerio","3",62.628489,1646,26.2819688975731,1373.454788
"Danio rerio","6",60.270059,1294,21.4700304175909,1373.454788
"Danio rerio","2",59.640629,1621,27.1794584862611,1373.454788
"Danio rerio","1",59.578282,1456,24.4384354688173,1373.454788
"Danio rerio","9",56.459846,1141,20.2090526424744,1373.454788
"Danio rerio","16",55.266484,1288,23.3052640005107,1373.454788
"Danio rerio","20",55.201332,1276,23.1153842447135,1373.454788
"Danio rerio","8",54.304671,1278,23.5338871678276,1373.454788
"Danio rerio","17",53.4611,1120,20.9498121063727,1373.454788
"Danio rerio","14",52.660232,1013,19.2365274805474,1373.454788
"Danio rerio","13",52.186027,1111,21.2892236460154,1373.454788
"Danio rerio","18",51.023478,1017,19.9320007154354,1373.454788
"Danio rerio","12",49.182954,1016,20.6575635940859,1373.454788
"Danio rerio","19",48.449771,1167,24.0868011533016,1373.454788
"Danio rerio","15",48.040578,1201,24.9996992126115,1373.454788
"Danio rerio","23",46.223584,1102,23.8406437718027,1373.454788
"Danio rerio","21",45.934066,1133,24.6657894382788,1373.454788
"Danio rerio","11",45.484837,1144,25.1512388623048,1373.454788
"Danio rerio","10",45.420867,1159,25.5169061391981,1373.454788
"Danio rerio","24",42.172926,849,20.1313989928041,1373.454788
"Danio rerio","22",39.13308,1227,31.3545470992828,1373.454788
"Danio rerio","25",37.502051,989,26.3718909667101,1373.454788
"Danio rerio","KN149696.2",0.368252,7,19.0087222879984,1373.454788
"Danio rerio","KN147651.2",0.351968,9,25.5705064096736,1373.454788
"Danio rerio","KN149690.1",0.343018,3,8.74589671679037,1373.454788
"Danio rerio","KN149686.1",0.260365,1,3.84076200718223,1373.454788
"Danio rerio","KN147652.2",0.25264,17,67.2894236858771,1373.454788
"Danio rerio","KN149688.2",0.252035,10,39.6770289840697,1373.454788
"Danio rerio","KN147636.1",0.203829,8,39.248585824392,1373.454788
"Danio rerio","KN149689.2",0.201817,2,9.90996794125371,1373.454788
"Danio rerio","KN149695.1",0.190731,2,10.4859723904347,1373.454788
"Danio rerio","KN150691.1",0.184625,3,16.249153689912,1373.454788
"Danio rerio","KN147632.2",0.184438,2,10.8437523720708,1373.454788
"Danio rerio","KN147637.2",0.171924,4,23.2660943207464,1373.454788
"Danio rerio","KN149685.1",0.16478,1,6.0686976574827,1373.454788
"Danio rerio","KN150214.1",0.162877,2,12.279204553129,1373.454788
"Danio rerio","KZ116066.1",0.161442,1,6.19417499783204,1373.454788
"Danio rerio","KN149684.1",0.159057,1,6.28705432643644,1373.454788
"Danio rerio","KZ116064.1",0.153879,2,12.9972250924428,1373.454788
