species,complete,link,single
Ailuropoda_melanoleuca,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002007445.1/,
Amphiprion_percula,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003047355.1/,
Anabas_testudineus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_900324465.3/,
Anas_platyrhynchos,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_008746955.1/,
Aquila_chrysaetos_chrysaetos,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900496995.1/,
Astatotilapia_calliptera,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_900246225.5/,
Athene_cunicularia,96.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003259725.1/,96.7
Balaenoptera_musculus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009873245.2/,
Betta_splendens,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900634795.2/,
Bos_grunniens,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_005887515.1/,
Bos_taurus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002263795.2/,
Cairina_moschata_domestica,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009194515.1/,
Callithrix_jacchus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011100555.1/,
Camarhynchus_parvulus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_902806625.1/,
Camelus_dromedarius,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_000803125.2/,
Canis_lupus_dingo,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003254725.1/,
Canis_lupus_familiaris,98,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_014441545.1/,95.5
Capra_hircus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001704415.1/,
Catharus_ustulatus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_009819885.1/,
Cervus_hanglu_yarkandensis,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_010411085.1/,
Chlorocebus_sabaeus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000409795.2/,
Clupea_harengus,98,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900700415.2/,93.8
Corvus_moneduloides,99.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_009650955.1/,98.6
Cottoperca_gobio,95.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900634415.1/,93.8
Coturnix_japonica,,https://www.ncbi.nlm.nih.gov/search/all/?term=GCA_001577835.1,
Crocodylus_porosus,96.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001723895.1/,96.5
Cyclopterus_lumpus,98.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_009769545.1/,97.3
Cynoglossus_semilaevis,97.7,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000523025.1/,96.6
Cyprinus_carpio_carpio,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_905221575.1/,
Danio_rerio,98.4,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000002035.6/,96.9
Delphinapterus_leucas,98.6,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002288925.2/,97.7
Denticeps_clupeoides,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_900700375.2/,
Dicentrarchus_labrax,99.7,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_905237075.1/,99.1
Echeneis_naucrates,99.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900963305.1/,97.8
Electrophorus_electricus,99,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_013358815.1/,97.8
Equus_asinus,98.8,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_016077325.2/,97.8
Equus_caballus,98.8,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002863925.1/,97.6
Erpetoichthys_calabaricus,94.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900747795.1/,90.5
Esox_lucius,99.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_011004845.1/,98.3
Felis_catus,99,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000181335.3/,98.2
Ficedula_albicollis,98.8,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000247815.1/,98.6
Gadus_morhua,96.8,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_902167405.1/,95
Gallus_gallus,99,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_016699485.2/,98.6
Gasterosteus_aculeatus,98.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_016920845.1/,95.9
Gopherus_evgoodei,98.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_007399415.2/,97.5
Gorilla_gorilla,97,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000151905.2/,93.8
Gouania_willdenowi,97.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900634775.1/,94.8
Heterocephalus_glaber,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_944319715.1/,
Homo_sapiens,98.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000001405.40/,97.9
Ictalurus_punctatus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_004006655.3/,
Junco_hyemalis,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003829775.1/,
Larimichthys_crocea,99.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000972845.2/,98.8
Lepisosteus_oculatus,94.8,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000242695.1/,93.6
Leptobrachium_leishanense,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009667805.1/,
Loxodonta_africana,95.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000001905.1/,94.7
Lynx_canadensis,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_007474595.1/,
Macaca_fascicularis,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011100615.1/,
Macaca_mulatta,99.3,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_003339765.1/,98.5
Malurus_cyaneus_samueli,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_011100615.1/,
Mastacembelus_armatus,99.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900324485.2/,98.5
Meleagris_gallopavo,92.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000146605.3/,91.9
Melopsittacus_undulatus,98.6,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_012275295.1/,97
Microcebus_murinus,97.8,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000165445.2/,96.4
Microtus_ochrogaster,98.4,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000317375.1/,97.7
Monodelphis_domestica,91.6,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000002295.2/,90.3
Monodon_monoceros,98.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_005190385.1/,97.4
Mus_caroli,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900094665.2/,
Mus_musculus,99.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000001635.27/,98.6
Mus_pahari,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_900095145.1/,
Mus_spretus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_001624865.1/,
Myripristis_murdjan,99.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_902150065.1/,98.2
Naja_naja,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009733165.1/,
Nomascus_leucogenys,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000146795.2/,
Nothobranchius_furzeri,94.9,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001465895.1/,94.5
Numida_meleagris,99.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002078875.1/,98.9
Oncorhynchus_kisutch,99.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002021735.2/,57.1
Oncorhynchus_mykiss,99.7,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_013265735.2/,55.5
Oncorhynchus_tshawytscha,99.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_018296145.1/,60.2
Oreochromis_aureus,99.5,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_013358895.1/,97.5
Oreochromis_niloticus,99.7,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_001858045.2/,99.1
Ornithorhynchus_anatinus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_004115215.1/,
Oryctolagus_cuniculus,92.6,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000003625.3/,91.3
Oryzias_javanicus,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_003999625.1/,
Oryzias_latipes,99.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_002234675.1/,97.7
