Amphiprion_ocellaris,Pomacentridae
Athene_cunicularia,Strigidae
Calidris_pygmaea,Scolopacidae
Cebus_imitator,Cebidae
Cottoperca_gobio,Bovichtidae
Cyclopterus_lumpus,Cyclopteridae
Danio_rerio,Cyprinidae
Erythrura_gouldiae,Estrildidae
Heterocephalus_glaber,Heterocephalidae
Kryptolebias_marmoratus,Rivulidae
Lates_calcarifer,Latidae
Myripristis_murdjan,Holocentridae
Notechis_scutatus,Elapidae
Pygocentrus_nattereri,Serrasalmidae
Scleropages_formosus,Osteoglossidae
Sphaeramia_orbicularis,Apogonidae
Stachyris_ruficeps,Timaliidae
